r star_mass gas_mass dm_mass star_density gas_density dm_density
6.200600793135579 509227.5854282012 7523033.232532171 1386259167.024141 101.13159681691255 27117.39346333665 4896936.55726631
6.3575552539963445 509440.13589034753 7699035.068229149 1416085644.3716764 33.90145816507269 28057.634131280967 4756897.285834435
6.51450971485711 509614.4261753476 7868022.192027733 1444898445.731568 27.129257778170977 26290.86525352144 4484531.717181325
6.671464175717875 510130.3612611833 8047525.425465967 1473059866.410511 78.41883258066596 27270.475014628068 4280042.531067803
6.82841863657864 510324.6897613384 8220234.22252332 1500862746.138269 28.857774003994226 25635.63590659944 4128436.3709164937
6.985373097439405 510324.6897613384 8389651.51411521 1528286435.959538 0.0 24582.481637715697 3980644.996568023
7.14232755830017 510324.6897613384 8578284.09618873 1555871563.067728 0.0 26769.608510565904 3916098.01407944
7.299282019160936 510525.19115602237 8747852.213466935 1582774336.0620136 27.853753154898236 23547.038027763658 3737113.9566009613
7.456236480021701 510525.19115602237 8933648.818906177 1609862949.654034 0.0 25257.896971578128 3683728.4305001902
7.6131909408824665 510525.19115602237 9123726.715709638 1636217586.74389 0.0 25307.576271616334 3510038.1688819546
7.770145401743232 510525.19115602237 9294801.675770996 1662369488.6362174 0.0 22317.69137053839 3412688.3675851277
7.927099862603997 510525.19115602237 9485067.390282346 1688473522.4957948 0.0 24330.118863240776 3339002.422820582
8.084054323464763 510698.12280717056 9678499.040322509 1714173024.5491922 21.691607280826375 24255.049169381335 3223441.7612690283
8.241008784325526 510698.12280717056 9865051.667977413 1739351609.7756062 0.0 22947.239077119368 3097962.5125676547
8.397963245186293 510698.12280717056 10052957.450866444 1764409117.0368295 0.0 22681.98269225664 3025449.7451109956
8.554917706047057 510919.84083158604 10239888.964043185 1789191617.7569604 26.28037949223889 22150.66236756984 2937353.0239745607
8.711872166907822 511121.2780650447 10428142.67696843 1813290825.7743094 23.446321843978502 21905.69795046494 2804909.8446201934
8.868826627768588 511291.07301384764 10634336.948061666 1837450103.479815 19.413554951696074 23568.95339793123 2762143.0106894937
9.025781088629351 511291.07301384764 10831476.231677467 1861554943.0304286 0.0 22142.3090380502 2707999.326638241
